time_start_sec,draw_time_avg,janky_frames,missed_vsync_count,slow_ui_thread_count,slow_bitmap_uploads_count,slow_issue_draw_commands_count,draw_time_avg_ma,janky_frames_ma
9710,13.423966,1,0,1,0,0,39.20690571428571,13.857142857142858
9740,58.570915,1,0,0,0,1,33.97175785714285,12.714285714285714
9770,15.841777,2,0,1,0,1,30.685104999999993,12.428571428571429
9800,190.82613,3,1,2,0,1,54.798452999999995,12.428571428571429
9830,84.92934,2,1,2,0,0,63.54276328571428,6.428571428571429
9860,45.737785,1,0,0,0,1,65.45240828571427,2.142857142857143
9890,34.34986,0,0,0,0,0,63.38282471428571,1.4285714285714286
9920,21.634142,0,0,0,0,0,64.555707,1.2857142857142858
9950,26.153946,0,0,0,0,0,59.92471142857142,1.1428571428571428
9980,92.439735,1,0,0,0,1,70.86727685714285,1.0
10010,73.43547,0,0,0,0,0,54.09718257142856,0.5714285714285714
10040,75.60268,0,0,0,0,0,52.76480257142857,0.2857142857142857
10070,16.044565,0,0,0,0,0,48.52291399999999,0.14285714285714285
10100,78.61077,0,0,0,0,0,54.84590114285714,0.14285714285714285
10130,58.01289,0,0,0,0,0,60.04286514285713,0.14285714285714285
10160,145.56792,0,0,0,0,0,77.10200428571427,0.14285714285714285
10190,94.83262,0,0,0,0,0,77.443845,0.0
10220,204.44293,1,0,0,0,0,96.1591964285714,0.14285714285714285
10250,29.502268,0,0,0,0,0,89.57342328571428,0.14285714285714285
10280,25.241053,4,1,2,1,1,90.88720728571427,0.7142857142857143
10310,86.56642,0,0,0,0,0,92.0237287142857,0.7142857142857143
10340,19.27155,0,0,0,0,0,86.48925157142857,0.7142857142857143
10370,20.46058,0,0,0,0,0,68.61677442857142,0.7142857142857143
10400,132.95381,0,0,0,0,0,74.0626587142857,0.7142857142857143
10430,63.99687,0,0,0,0,0,53.99893585714285,0.5714285714285714
10460,99.49353,0,0,0,0,0,63.997687571428564,0.5714285714285714
10490,79.29318,0,0,0,0,0,71.71942,0.0
10520,97.79986,0,0,0,0,0,73.32419714285713,0.0
10550,211.85109,2,0,1,0,0,100.83555999999999,0.2857142857142857
10580,43.641518,0,0,0,0,0,104.14712257142857,0.2857142857142857
10610,85.03028,0,0,0,0,0,97.30090399999999,0.2857142857142857
10640,74.968155,1,0,0,0,1,98.86823042857142,0.42857142857142855
10670,106.24912,1,1,0,0,1,99.8333147142857,0.5714285714285714
10730,52.175438,19,15,17,16,5,95.95935157142856,3.2857142857142856
10760,22.048462,1,0,0,0,1,85.13772328571427,3.4285714285714284
10820,17.619732,0,0,0,0,0,57.390386428571425,3.142857142857143
10850,36.97961,0,0,0,0,0,56.43868528571427,3.142857142857143
10880,49.291317,1,0,0,0,1,51.33311914285713,3.2857142857142856
10910,22.519606,0,0,0,0,0,43.84046928571428,3.142857142857143
10940,105.38094,0,0,0,0,0,43.71644357142856,3.0
10970,78.06306,1,0,0,0,1,47.414675285714274,0.42857142857142855
11000,68.748665,0,0,0,0,0,54.08613285714284,0.2857142857142857
11030,43.482967,0,0,0,0,0,57.78088071428571,0.2857142857142857
11060,80.92508,0,0,0,0,0,64.05880499999999,0.2857142857142857
11090,34.654076,8,1,6,0,3,61.96777057142856,1.2857142857142858
11150,129.82582,3,0,1,0,2,77.2972297142857,1.7142857142857142
11180,29.490837,2,0,1,0,1,66.45578642857141,2.0
11210,78.33049,1,0,0,0,1,66.49399071428572,2.0
11240,140.14174,14,0,4,0,11,76.69300142857142,4.0
11300,19.293514,14,0,5,0,10,73.23736528571428,6.0
11330,24.940096,0,0,0,0,0,65.23951042857142,6.0
11360,33.598335,14,0,5,0,10,65.08869028571426,6.857142857142857
11390,178.46387,0,0,0,0,0,72.03698314285712,6.428571428571429
11420,0.0,0,0,0,0,0,67.82400642857142,6.142857142857143
11450,72.657814,0,0,0,0,0,67.01362414285713,6.0
11480,24.288727,0,0,0,0,0,50.4631937142857,4.0
11510,28.759207,0,0,0,0,0,51.815435571428566,2.0
11540,85.38856,0,0,0,0,0,60.45093042857142,2.0
11570,115.34641,0,0,0,0,0,72.12922685714285,0.0
11600,25.44736,0,0,0,0,0,50.26972542857142,0.0
11630,57.24207,0,0,0,0,0,58.447163999999994,0.0
11660,147.35362,0,0,0,0,0,69.11799342857141,0.0
11690,75.98009,0,0,0,0,0,76.50247385714285,0.0
11720,28.822569,0,0,0,0,0,76.51152557142856,0.0
11750,62.623898,0,0,0,0,0,73.25943099999998,0.0
11780,109.2171,0,0,0,0,0,72.38381528571428,0.0
11810,69.80155,0,0,0,0,0,78.72012814285713,0.0
11840,17.541172,0,0,0,0,0,73.04857128571427,0.0
11870,27.761192,0,0,0,0,0,55.9639387142857,0.0
11900,153.12721,0,0,0,0,0,66.98495585714285,0.0
11930,128.58347,0,0,0,0,0,81.23651314285713,0.0
11960,214.47444,0,0,0,0,0,102.92944771428571,0.0
11990,140.76587,0,0,0,0,0,107.43641485714285,0.0
12020,38.125683,0,0,0,0,0,102.91129099999999,0.0
12050,92.48085,0,0,0,0,0,113.61695928571427,0.0
12080,26.904245,0,0,0,0,0,113.49453828571428,0.0
12110,166.86945,0,0,0,0,0,115.45771542857142,0.0
12140,26.229204,0,0,0,0,0,100.83567742857143,0.0
12170,137.2568,0,0,0,0,0,89.804586,0.0
12200,159.87201,0,0,0,0,0,92.53403457142856,0.0
12230,100.608986,1,0,0,0,1,101.46022071428571,0.14285714285714285
12260,82.854996,0,0,0,0,0,100.08509871428569,0.14285714285714285
12290,72.63888,0,0,0,0,0,106.618618,0.14285714285714285
12320,104.37163,1,0,0,0,1,97.69035799999999,0.2857142857142857
12350,29.36025,0,0,0,0,0,98.13765028571427,0.2857142857142857
12380,26.953613,0,0,0,0,0,82.38005214285714,0.2857142857142857
12440,102.40195,0,0,0,0,0,74.17004357142855,0.2857142857142857
12470,109.54454,0,0,0,0,0,75.44655128571428,0.14285714285714285
12500,26.189713,0,0,0,0,0,67.35151085714286,0.14285714285714285
12530,81.669754,0,0,0,0,0,68.6416357142857,0.14285714285714285
12560,19.1543,0,0,0,0,0,56.46773142857142,0.0
12590,96.82495,0,0,0,0,0,66.1055457142857,0.0
12620,175.8646,0,0,0,0,0,87.37854385714284,0.0
12650,74.65249,0,0,0,0,0,83.41433528571427,0.0
12680,84.43081,0,0,0,0,0,79.82665957142856,0.0
12710,83.12684,0,0,0,0,0,87.96053485714285,0.0
12740,52.523643,0,0,0,0,0,83.79680471428571,0.0
12770,64.04238,1,0,0,0,0,90.20938757142856,0.14285714285714285
12800,54.567867,0,0,0,0,0,84.17266142857143,0.14285714285714285
